nom,adresse,coordonnees,,Id,rue,code_postal,ville
"
Les Paniers Des Saveurs","Local Préfabriqué Ave Alexandre De Lavergne
14810
Merville Franceville",,,id_1130,Local Préfabriqué Ave Alexandre De Lavergne,CP_14810,Merville Franceville
"
Les Paniers Du Beuvron","13 Impasse De La Garenne
41600
Lamotte-Beuvron",,,id_1131,13 Impasse De La Garenne,CP_41600,Lamotte-Beuvron
"
Les Paniers Du Graoully","Ecole Primaire Sainte Thérèse Rue Du Xxème Corps Américain
57000
Metz",,,id_1132,Ecole Primaire Sainte Thérèse Rue Du Xxème Corps Américain,CP_57000,Metz
"
Les Paniers Du Marais","69 Ter Rue Anatole France
17300
Rochefort-Sur-Mer",,,id_1133,69 Ter Rue Anatole France,CP_17300,Rochefort-Sur-Mer
"Les Paniers Du Potager Gourmand
","155 Faubourg De Rochebelle
30100
Alès",,,id_1134,155 Faubourg De Rochebelle,CP_30100,Alès
"
Les Paniers Du Square","10 Rue Joseph Cugnot
79000
Niort",,,id_1135,10 Rue Joseph Cugnot,CP_79000,Niort
"
Les Paniers Du Terroir","Rue de l'Evêché
71100
Chalon-sur-Saône",,,id_1136,Rue de l'Evêché,CP_71100,Chalon-sur-Saône
"
Les Paniers En Aure","Rue Saint Quentin
14400
Bayeux",,,id_1137,Rue Saint Quentin,CP_14400,Bayeux
"
Les Paniers Mouillés","La Petite Épicerie
79270
Le Vanneau",,,id_1138,La Petite Épicerie,CP_79270,Le Vanneau
Les Paniers Nature Du Val De Cher,"7 Ruelle de la Jalterie
41130
Châtillon-sur-Cher",,,id_1139,7 Ruelle de la Jalterie,CP_41130,Châtillon-sur-Cher
"
Les Paniers Solidaires","Rue Charles Roy
58000
Nevers",,,id_1140,Rue Charles Roy,CP_58000,Nevers
"
Les Paniers Vino-Liens","Salle Des Fêtes De Vineuil (Rue Des Écoles)
41350
Vineuil",,,id_1141,Salle Des Fêtes De Vineuil (Rue Des Écoles),CP_41350,Vineuil
"
Les Pannier Bio De Gurgy","11 Rue De L'Ile Chamond
89250
Gurgy",,,id_1142,11 Rue De L'Ile Chamond,CP_89250,Gurgy
"
Les Radis Démasqués","Salle du foyer
85310
Le Tablier",,,id_1143,Salle du foyer,CP_85310,Le Tablier
"
Les Resses De La Semaine","93 Rue A. Ribot
53000
Laval",,,id_1144,93 Rue A. Ribot,CP_53000,Laval
"
Les Saveurs De Kienheim","7 Rue de l'Eglise
67270
Kienheim",,,id_1145,7 Rue de l'Eglise,CP_67270,Kienheim
Les Serres Du Pont D'Or,"Chemin Des Romains 01
30300
Jonquieres St Vincent",,,id_1146,Chemin Des Romains 01,CP_30300,Jonquieres St Vincent
"
Les Voisins De Panier","37 Rue Charles De Gaulle
49770
La Membrolle Sur Longuenée",,,id_1147,37 Rue Charles De Gaulle,CP_49770,La Membrolle Sur Longuenée
Libertamap,"Libertamap C/O Librairie L'Autodidacte 5, Rue Marluaz
25000
Besançon",,,id_1148,"Libertamap C/O Librairie L'Autodidacte 5, Rue Marluaz",CP_25000,Besançon
Libertaterre,"1 Rue Des Frères Goncourt
29000
Brest",,,id_1149,1 Rue Des Frères Goncourt,CP_29000,Brest
"
Lion-Environnement","Boulevard Carnot
14780
Lion-sur-Mer",,,id_1150,Boulevard Carnot,CP_14780,Lion-sur-Mer
