Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_26,Amap De Gannat,"Allée Mme De Sevignier
03800
Mazerier",Allée Mme De Sevignier,CP_03800,Mazerier,Mazerier,CI_03166,BV_03118,Gannat,ZE_8432,Vichy,46.0771,3.2234,,
id_27,Amap De Jaujac,"Route de la Souche
07380
Jaujac",Route de la Souche,CP_07380,Jaujac,Jaujac,CI_07107,BV_07019,Aubenas,ZE_8402,Aubenas,"44,6294752","4,2458137",,
id_28,Amap De La Carnière,"4 Montée de la Carnière
69800
Saint-Priest",4 Montée de la Carnière,CP_69800,Saint-Priest,Saint-Priest,CI_69290,BV_69123,Lyon,ZE_8421,Lyon,"45,6974345","4,9429206",,
id_29,Amap De La Coise,"Ecole La Colombe Avenue de la Coise
42330
Saint-Galmier",Ecole La Colombe Avenue de la Coise,CP_42330,Saint-Galmier,Saint-Galmier,CI_42222,BV_42222,Saint-Galmier,ZE_8428,Saint Etienne,"45,5905384","4,3094708",,
id_30,Amap De La Comte,"Mairie
63270
Vic-Le-Comte",Mairie,CP_63270,Vic-Le-Comte,Vic-Le-Comte,CI_63457,BV_63457,Vic-le-Comte,ZE_8408,Clermont-Ferrand,"45,6433963","3,2432196",,
id_31,Amap De La Côte,"12 Rue de la Chiorarie
42230
Roche-la-Molière",12 Rue de la Chiorarie,CP_42230,Roche-la-Molière,Roche-la-Molière,CI_42189,BV_42218,Saint-Étienne,ZE_8428,Saint Etienne,"45,4356528","4,3361642",,
id_32,Amap De La Ferme Du Chapitre,"14 Place du Chapitre
26100
Romans-sur-Isère",14 Place du Chapitre,CP_26100,Romans-sur-Isère,Romans-sur-Isère,CI_26281,BV_26281,Romans-sur-Isère,ZE_8427,Romans sur Isère,45.04350662231445,5.0546183586120605,,
id_33,Amap De La Monne,"Salle Des Éclaireurs, Parc Villot
63450
Saint-Amant-Tallende","Salle Des Éclaireurs, Parc Villot",CP_63450,Saint-Amant-Tallende,Saint-Amant-Tallende,CI_63315,BV_63113,Clermont-Ferrand,ZE_8408,Clermont-Ferrand,45.66926956176758,3.1071996688842773,,
id_34,Amap De La Veyle,"Avenue des Sports
01290
Pont-de-Veyle",Avenue des Sports,CP_01290,Pont-de-Veyle,Pont-de-Veyle,CI_01306,BV_71270,Mâcon,ZE_0059,Mâcon,"46,2641404","4,8821717",,
id_35,Amap De L'Albanne - Barberaz,"Avenue Du Stade
73000
Barberaz",Avenue Du Stade,CP_73000,Barberaz,Barberaz,CI_73029,BV_73065,Chambéry,ZE_8407,Chambéry,"45,5614688","5,9417654",,
id_36,Amap De L'Alternatibar,"126 Montée de la Grande Côte
69001
Lyon",126 Montée de la Grande Côte,CP_69001,Lyon,LYON 01,CI_69123,BV_69123,Lyon,ZE_8421,Lyon,"45,7692341","4,8319667",,
id_37,Amap De L'Ambene,"Route de Marsat - St Genest
63200
Malauzat",Route de Marsat - St Genest,CP_63200,Malauzat,Malauzat,CI_63203,BV_63113,Clermont-Ferrand,ZE_8408,Clermont-Ferrand,"45,8798856","3,068715",,
